date,market_cap
2017-01-01,16050407461
2017-01-02,16429024775
2017-01-03,16786368910
2017-01-04,18571869009
2017-01-05,16300254795
2017-01-06,14513695758
2017-01-07,14618030536
2017-01-08,14661966429
2017-01-09,14528815565
2017-01-10,14608685049
2017-01-11,12519135996
2017-01-12,12956730411
2017-01-13,13266554392
2017-01-14,13178601992
2017-01-15,13234840657
2017-01-16,13393372620
2017-01-17,14625779851
2017-01-18,14284036613
2017-01-19,14486616700
2017-01-20,14423545371
2017-01-21,14856911163
2017-01-22,14905439337
2017-01-23,14848013909
2017-01-24,14393026385
2017-01-25,14537488261
2017-01-26,14797955301
2017-01-27,14834831700
2017-01-28,14866260449
2017-01-29,14834377926
2017-01-30,14850351605
2017-01-31,15659186515
2017-02-01,15962015276
2017-02-02,16331615570
2017-02-03,16625849489
2017-02-04,16837411920
2017-02-05,16588240157
2017-02-06,16764422010
2017-02-07,17141080574
2017-02-08,17170799127
2017-02-09,16063448932
2017-02-10,15973053725
2017-02-11,16229677099
2017-02-12,16146290349
2017-02-13,16010322103
2017-02-14,16237219721
2017-02-15,16286329282
2017-02-16,16610905026
2017-02-17,16916338976
2017-02-18,17051064834
2017-02-19,16946913346
2017-02-20,17468244508
2017-02-21,18041455273
2017-02-22,18077985665
2017-02-23,18877442096
2017-02-24,18992415818
2017-02-25,18511906560
2017-02-26,18860247630
2017-02-27,19101427518
2017-02-28,19103684801
2017-03-01,19794459608
2017-03-02,20258543188
2017-03-03,20649259919
2017-03-04,20329978338
2017-03-05,20526235270
2017-03-06,20620991547
2017-03-07,19824773912
2017-03-08,18635275050
2017-03-09,19261188310
2017-03-10,18100188612
2017-03-11,19060468862
2017-03-12,19801195767
2017-03-13,19974334865
2017-03-14,20107761880
2017-03-15,20265831337
2017-03-16,19265847025
2017-03-17,17847435957
2017-03-18,15798760668
2017-03-19,16821676707
2017-03-20,17107266418
2017-03-21,18185299687
2017-03-22,17028630158
2017-03-23,16859314109
2017-03-24,15220718764
2017-03-25,15794781102
2017-03-26,15698465531
2017-03-27,16983801541
2017-03-28,17008241726
2017-03-29,16893415156
2017-03-30,16675587066
2017-03-31,17414322808
2017-04-01,17557597716
2017-04-02,17911915755
2017-04-03,18591158323
2017-04-04,18421262063
2017-04-05,18285857775
2017-04-06,19229356147
2017-04-07,19137747435
2017-04-08,19124327856
2017-04-09,19320511927
2017-04-10,19310642460
2017-04-11,19604036563
2017-04-12,19530680104
2017-04-13,19026699552
2017-04-14,19000400018
2017-04-15,19083656460
2017-04-16,19255408766
2017-04-17,19436033390
2017-04-18,19727334977
2017-04-19,19707045565
2017-04-20,20015137622
2017-04-21,19903192286
2017-04-22,20062753908
2017-04-23,19665994145
2017-04-24,20367443800
2017-04-25,20619704237
2017-04-26,20876159410
2017-04-27,21475836448
2017-04-28,21457669552
2017-04-29,21547126640
2017-04-30,21975104909
2017-05-01,23179524919
2017-05-02,23691443738
2017-05-03,24301634925
2017-05-04,25080858487
2017-05-05,25373374563
2017-05-06,25757608890
2017-05-07,26053077975
2017-05-08,28123369330
2017-05-09,28649119972
2017-05-10,29170965564
2017-05-11,30176934751
2017-05-12,28150631936
2017-05-13,29471223857
2017-05-14,29540290794
2017-05-15,28392885375
2017-05-16,28330874003
2017-05-17,30043626195
2017-05-18,30856574835
2017-05-19,32479082015
2017-05-20,34068630559
2017-05-21,33361091114
2017-05-22,35525744380
2017-05-23,37933704066
2017-05-24,39952841999
2017-05-25,37690456715
2017-05-26,36017660894
2017-05-27,33347170525
2017-05-28,35264171110
2017-05-29,36901102917
2017-05-30,35594903085
2017-05-31,37414813240
2017-06-01,39407633763
2017-06-02,40732491835
2017-06-03,41177190057
2017-06-04,41124262595
2017-06-05,43994968834
2017-06-06,46888622160
2017-06-07,44748237218
2017-06-08,45957247989
2017-06-09,46260465854
2017-06-10,48295501718
2017-06-11,48471330146
2017-06-12,43585351533
2017-06-13,44530631894
2017-06-14,41082567339
2017-06-15,40402259202
2017-06-16,41291821423
2017-06-17,43548031452
2017-06-18,41788418974
2017-06-19,42470734800
2017-06-20,44643512689
2017-06-21,44111929173
2017-06-22,44384244937
2017-06-23,45037797053
2017-06-24,42807952581
2017-06-25,42495001716
2017-06-26,40677994354
2017-06-27,41897190525
2017-06-28,42268942193
2017-06-29,41690395783
2017-06-30,40735082695
2017-07-01,39980058373
2017-07-02,41167015221
2017-07-03,42118211083
2017-07-04,42740618673
2017-07-05,42751085999
2017-07-06,42863758795
2017-07-07,41391217675
2017-07-08,42262222823
2017-07-09,41397076604
2017-07-10,39005033499
2017-07-11,38438497236
2017-07-12,39447604438
2017-07-13,38778935907
2017-07-14,36734255488
2017-07-15,32880721300
2017-07-16,31748939343
2017-07-17,36665393517
2017-07-18,38158677672
2017-07-19,37415031061
2017-07-20,46376428080
2017-07-21,43915296559
2017-07-22,46264340367
2017-07-23,44957775265
2017-07-24,45366654309
2017-07-25,42433788244
2017-07-26,41663929265
2017-07-27,44013533097
2017-07-28,46279316161
2017-07-29,44924534585
2017-07-30,45435913868
2017-07-31,47388334773
2017-08-01,44804603885
2017-08-02,44684649516
2017-08-03,46239970790
2017-08-04,47749461443
2017-08-05,53643452554
2017-08-06,53006426108
2017-08-07,55734179251
2017-08-08,56417337745
2017-08-09,55145196472
2017-08-10,55791120000
2017-08-11,60241844923
2017-08-12,64111163866
2017-08-13,67230528989
2017-08-14,71394704654
2017-08-15,69038855081
2017-08-16,72260183303
2017-08-17,71527949443
2017-08-18,68710871037
2017-08-19,69265141208
2017-08-20,67520478838
2017-08-21,66106992038
2017-08-22,67743202431
2017-08-23,68593954170
2017-08-24,71625870868
2017-08-25,72241507489
2017-08-26,71929882019
2017-08-27,72441993792
2017-08-28,72445588933
2017-08-29,75699786263
2017-08-30,75482724984
2017-08-31,77775374625
2017-09-01,80905039782
2017-09-02,75734114962
2017-09-03,75812181334
2017-09-04,70087101256
2017-09-05,72417728536
2017-09-06,76077049312
2017-09-07,76132843874
2017-09-08,69999555938
2017-09-09,69963847482
2017-09-10,68263826801
2017-09-11,68907352119
2017-09-12,68412822896
