,hodl,hourly,daily,weekly,monthly
NLG-NGC-NBT-VIB-RVN,3100.718848950376,8771.889912367093,7630.284367562454,6493.335240565954,4440.703051238068
EXP-NEO-CBC-GRS-IOC,2935.6154547758692,5738.801878024119,4725.656628365854,4377.127584492855,3271.596584211164
XVG-ARK-LUN-GEO-RVN,2710.4048786050917,6615.247431522558,6702.75538635555,5860.494217435602,4405.365820096541
MFT-UKG-LBC-HMQ-RFR,2393.701374694743,6664.006285235675,5951.597531161466,4971.20003693637,4212.897615534984
GRS-RFR-GLD-CANN-INCNT,3260.270685314699,29697.370607421595,15604.576366549862,27881.788090086568,5257.028612355907
LSK-DMD-XEM-HYDRO-MFT,2896.893722623397,4620.597291064092,4324.828951812883,3935.9885609790254,3098.71176671029
EDG-POLY-2GIVE-PAX-NXC,2874.905956750249,10746.316124527882,8573.451060480033,9942.91472568998,3578.7053383074544
LTC-DCT-SC-RVN-HYDRO,2504.2327177636457,4497.6565659556045,4737.41119965981,4228.764356263296,3400.94614390395
PMA-EMC2-VTC-AMP-WAVES,3686.686309867177,4009404.6346646687,22106.677139529922,6854.254627038655,4281.050385867416
BLT-BURST-MTL-BCPT-HYDRO,2537.1635851234173,8963.612283959645,7156.362922499987,5390.944607915943,4017.5948634201727
IHT-SYNX-NLG-BKX-EMC2,3014.4612650614868,10622.956361595248,7583.4778957499575,6895.433637872304,4459.280791110421
FLO-INCNT-HMQ-ETC-POT,3011.0346485531236,26024.87801227875,13018.016491473334,15239.753650001941,4457.943471172932
POT-VRC-BRK-INCNT-ENG,3226.8176115186766,27859.489702626073,11587.39408084765,13804.322700299641,3689.0122362213397
STEEM-IOP-OMG-GTO-BKX,2137.1595081952623,5125.827480201284,4254.037422926173,3811.1563988592247,2897.3340406667285
XWC-GBYTE-GAME-ABY-VRM,3281.4145436476656,6859.066057197704,4938.410086451439,4279.754043857029,3960.945154645291
CRW-DYN-AID-XST-INCNT,2853.9994595494163,31320.61399853592,13542.128148813159,17403.231300208114,3999.2632103706874
RCN-MONA-GNO-DYN-NLG,3055.573376877812,7299.598575142,5998.1047351944935,5733.7909425795815,3669.3997091873352
QTUM-NMR-BTC-BOXX-MUE,2757.864503175074,6225.195943133822,5307.422796247553,5267.436381622486,3821.3072696402633
DTB-SRN-CLOAK-EMC-SIB,2591.956496358041,13218.86997421751,7554.719658606268,8801.049499888615,6165.1355905229175
PAX-SWIFT-2GIVE-WAX-GAM,2772.6255267290253,15003.647479695966,7176.985041189178,6084.1470654512705,3515.878521245822
PIVX-NLC2-BRK-RLC-SYNX,2773.6049882195534,18244.19608768978,10706.96807747139,6884.916947873952,3777.863208849529
ETC-GO-INCNT-TX-BCHABC,2274.330541325991,25069.483500907016,12336.596942333923,13168.416476013124,3405.8601111418034
GTO-MONA-CANN-FTC-MUSIC,2230.320608401227,5163.834872499445,4653.367148657429,3759.5485906041717,2926.185834054989
MONA-GNT-MEME-GBYTE-XHV,2904.676006289791,6963.660013870379,5848.9469432178785,5165.21399916052,5356.439280517219
POT-PINK-CANN-SNT-SLS,3195.159655028208,5399.477385906722,4779.609679740394,4682.223338722921,4031.728854996546
PTOY-GTO-PIVX-IOC-EXP,2626.2883752631,5962.45905400331,4573.580124474864,3950.4665912346973,3057.618783730041
LSK-MEME-RADS-NXT-XEM,3041.843818734316,5681.157867909908,4558.078736931068,3913.799456335609,3297.981428669118
PRO-MET-PAL-PMA-SHIFT,3085.0282424652196,8602240.767888492,21886.4139501189,6686.646428789344,4358.384991393325
ABY-VIB-EDR-STORJ-LUN,2536.135866646701,7188.391330176044,5680.045602643394,4740.058221342528,3609.424628384037
RCN-NBT-VTC-QTUM-XCP,2692.682095589964,5585.258613711794,4532.659094899311,3975.814132347889,3135.8098624524273
CRW-XLM-PAX-BLOCK-ANT,2568.353548805509,6037.833660844553,5647.73356583972,5935.913008986015,3353.007542000185
POWR-PART-XCP-BCPT-BFT,3101.490422202401,8036.730662319861,6799.304295466855,5969.587031436663,3885.8892315628987
EXCL-BLT-VIA-RCN-UBQ,2658.411668545932,12114.60747124949,5981.038367034095,4395.268964416387,3090.361724171689
IGNIS-MET-USDS-SBD-NMR,2846.168904045089,8662.992867599507,4779.060273043178,4167.083537790015,3194.8222799666164
ARK-ZEN-EXCL-NAV-XVG,2911.7934896428474,9315.402420527487,5732.709147463886,4566.3465474549075,3164.921718015086
SPC-DNT-SNT-XWC-SC,2513.6874071104958,3.06133132002217e+60,9429.746120943493,8776.088049844933,2604.508207473777
GNO-NLG-BITB-GAME-XCP,3514.0268981723275,8806.926310716906,7361.333131572713,6636.069068800636,5167.715922949781
